code;label-en_US;allowed_extensions;auto_option_sorting;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;default_value;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
lead_time;Lead-Time;;;;;;;;;shipping;0;;;;;;;;;0;47;pim_catalog_text;0;1;;;
lead_time_2;"Lead-Time 2";;;;;;;;;shipping;0;;;;;;;;;0;48;pim_catalog_text;0;1;;;
width_between_legs;"Width Between Legs";;;;;;1;INCH;;dimensions;0;;;Length;;0;;;;0;10;pim_catalog_metric;0;1;;;
clearance;Clearance;;;;;;1;INCH;;dimensions;0;;;Length;;0;;;;0;11;pim_catalog_metric;0;1;;;
minimum_base_weight;"Minimum Base Weight";;;;;;1;POUND;;dimensions;0;;;Weight;;0;;;;0;14;pim_catalog_metric;0;1;;;
number_of_burners;"Number of Burners";;;;;;0;;;specs;0;;;;;0;;;;0;78;pim_catalog_number;0;1;;;
mount_height;"Mount Height";;;;;;1;FEET;;dimensions;0;;;Length;;0;;;;0;18;pim_catalog_metric;0;1;;;
burner_ring_size;"Burner Ring Size";;;;;;1;INCH;;dimensions;0;;;Length;;0;;;;0;22;pim_catalog_metric;0;1;;;
burner_pan_size;"Burner Pan Size";;;;;;1;INCH;;dimensions;0;;;Length;;0;;;;0;23;pim_catalog_metric;0;1;;;
hose_length;"Hose Length";;;;;;1;FEET;;dimensions;0;;;Length;;0;;;;0;24;pim_catalog_metric;0;1;;;
lava_rock_fireglass_weight;"Lava Rock/Fireglass Weight";;;;;;1;POUND;;dimensions;0;;;Weight;;0;;;;0;25;pim_catalog_metric;0;1;;;
pile_height;"Pile Height";;;;;;1;INCH;;dimensions;0;;;Length;;0;;;;0;26;pim_catalog_metric;0;1;;;
screen_size;"Screen Size";;;;;;1;INCH;;dimensions;0;;;Length;;0;;;;0;27;pim_catalog_metric;0;1;;;
non_operating_temp;"Non-Operating Temp";;;;;;;;;specs;0;;;;;;;;;0;129;pim_catalog_text;0;1;;;
gtin;Gtin;;;;;;0;;;coreinfo;0;;;;;0;;;;0;8;pim_catalog_number;0;1;;;
height;Height;;;;;;1;INCH;;dimensions;0;;;Length;;0;;;;0;6;pim_catalog_metric;0;1;;;
option_set_id;"Option Set Id";;;;;;0;;;other;0;;;;;0;;;;0;147;pim_catalog_number;0;1;;;
sale_price;"Sale Price";;;;;;1;;;pricing;0;;;;;1;;;;0;2;pim_catalog_number;0;1;;;
retail_price;"Retail Price";;;;;;1;;;pricing;0;;;;;1;;;;0;1;pim_catalog_number;0;1;;;
sort_order;"Sort Order";;;;;;0;;;marketing;0;;;;;1;;;;0;156;pim_catalog_number;0;1;;;
tax_class_id;"Tax Class Id";;;;;;0;;;coreinfo;0;;;;;0;;;;0;12;pim_catalog_number;0;1;;;
beaufort_scale;"Beaufort Scale";;;;;;0;;;specs;0;;;;;0;;;;0;198;pim_catalog_number;0;1;;;
number_of_tools;"Number of Tools";;;;;;0;;;specs;0;;;;;0;;;;0;202;pim_catalog_number;0;1;;;
grade;Grade;;;;;;;;;options;0;;;;;;;;;0;205;pim_catalog_simpleselect;0;1;;;
